mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
14,False,60,2,False,AgenteAleatorio1,59922,10,PLANTARSE,-60,None,-1.0
7,False,276,2,False,AgenteAleatorio1,59862,3,DIVIDIR,276,None,1.0
20,False,291,2,True,AgenteAleatorio1,60138,11,DOBLAR,-582,None,-2.0
16,False,473,2,False,AgenteAleatorio1,59556,6,DOBLAR,-946,None,-2.0
20,False,211,2,True,AgenteAleatorio1,58610,5,RENDIRSE,-105,None,-0.4976303317535545
13,False,131,2,False,AgenteAleatorio1,58504,6,DOBLAR,262,None,2.0
19,True,317,2,False,AgenteAleatorio1,58766,4,PLANTARSE,317,None,1.0
12,False,429,2,False,AgenteAleatorio1,58766,7,RENDIRSE,-214,None,-0.4988344988344988
14,False,409,2,True,AgenteAleatorio1,58551,11,DOBLAR,-818,None,-2.0
20,False,366,2,True,AgenteAleatorio1,57733,10,DIVIDIR,-732,None,-2.0
20,False,366,2,True,AgenteAleatorio1,57367,10,DOBLAR,-732,None,-2.0
16,False,366,2,False,AgenteAleatorio1,57001,10,PLANTARSE,-366,None,-1.0
19,False,463,2,False,AgenteAleatorio1,56635,10,DOBLAR,-926,None,-2.0
10,False,25,2,False,AgenteAleatorio1,55709,5,PEDIR,-25,None,-1.0
14,False,25,3,False,AgenteAleatorio1,55709,5,PEDIR,-25,None,-1.0
14,False,282,2,False,AgenteAleatorio1,55684,2,RENDIRSE,-141,None,-0.5
6,False,3,2,False,AgenteAleatorio1,55543,2,PEDIR,-3,None,-1.0
14,False,3,3,False,AgenteAleatorio1,55543,2,RENDIRSE,-3,None,-1.0
13,False,132,2,False,AgenteAleatorio1,55540,5,PEDIR,-132,None,-1.0
16,False,18,2,False,AgenteAleatorio1,55408,9,DIVIDIR,-18,None,-1.0
16,False,185,2,False,AgenteAleatorio1,55390,8,RENDIRSE,-92,None,-0.4972972972972973
15,False,267,2,False,AgenteAleatorio1,55297,3,DIVIDIR,-267,None,-1.0
9,False,274,2,False,AgenteAleatorio1,55030,7,RENDIRSE,-137,None,-0.5
17,False,286,2,False,AgenteAleatorio1,54893,10,PEDIR,-286,None,-1.0
13,False,88,2,False,AgenteAleatorio1,54607,10,PEDIR,-88,None,-1.0
16,True,93,2,False,AgenteAleatorio1,54519,10,DOBLAR,-186,None,-2.0
13,True,214,2,False,AgenteAleatorio1,54333,8,PEDIR,0,None,0.0
18,True,214,3,False,AgenteAleatorio1,54333,8,PLANTARSE,0,None,0.0
21,True,398,2,False,AgenteAleatorio1,54333,9,RENDIRSE,-199,None,-0.5
21,True,515,2,False,AgenteAleatorio1,54134,11,RENDIRSE,-257,None,-0.49902912621359224
18,False,231,2,False,AgenteAleatorio1,53876,10,RENDIRSE,-115,None,-0.49783549783549785
15,False,225,2,False,AgenteAleatorio1,53760,10,DOBLAR,-450,None,-2.0
9,False,79,2,False,AgenteAleatorio1,53310,10,PEDIR,-79,None,-1.0
19,False,79,3,False,AgenteAleatorio1,53310,10,DOBLAR,-79,None,-1.0
12,False,319,2,False,AgenteAleatorio1,53231,8,RENDIRSE,-159,None,-0.49843260188087773
17,False,249,2,False,AgenteAleatorio1,53071,8,DIVIDIR,-249,None,-1.0
18,False,410,2,False,AgenteAleatorio1,52822,6,PLANTARSE,410,None,1.0
20,False,223,2,True,AgenteAleatorio1,52822,7,PEDIR,-223,None,-1.0
13,False,137,2,False,AgenteAleatorio1,52599,3,PLANTARSE,-137,None,-1.0
19,False,171,2,False,AgenteAleatorio1,52462,8,RENDIRSE,-85,None,-0.49707602339181284
16,False,346,2,False,AgenteAleatorio1,52376,10,PEDIR,-346,None,-1.0
10,False,471,2,False,AgenteAleatorio1,52030,4,PLANTARSE,471,None,1.0
9,False,330,2,False,AgenteAleatorio1,52501,5,PLANTARSE,-330,None,-1.0
20,False,85,2,True,AgenteAleatorio1,52171,10,RENDIRSE,-42,None,-0.49411764705882355
16,False,448,2,False,AgenteAleatorio1,52128,9,DIVIDIR,448,None,1.0
7,False,425,2,False,AgenteAleatorio1,52576,10,RENDIRSE,-212,None,-0.4988235294117647
20,False,289,2,True,AgenteAleatorio1,52363,6,PEDIR,-289,None,-1.0
20,False,259,2,True,AgenteAleatorio1,52074,10,DOBLAR,-518,None,-2.0
9,False,370,2,False,AgenteAleatorio1,51556,10,DOBLAR,740,None,2.0
15,False,490,2,False,AgenteAleatorio1,51556,8,DOBLAR,-980,None,-2.0
14,False,215,2,False,AgenteAleatorio1,50576,5,DIVIDIR,215,None,1.0
20,False,86,2,True,AgenteAleatorio1,50791,3,RENDIRSE,-43,None,-0.5
19,True,204,2,False,AgenteAleatorio1,50748,10,PEDIR,0,None,0.0
